iter	Passed	Remaining
0	1	154
1	2	141
2	4	138
3	5	134
4	6	132
5	8	128
6	9	126
7	10	125
8	12	123
9	13	117
10	13	112
11	14	107
12	15	103
13	16	100
14	17	96
15	17	92
16	18	89
17	19	86
18	19	84
19	20	81
20	20	78
21	21	76
22	22	73
23	22	71
24	23	69
25	23	67
26	24	65
27	24	64
28	25	62
29	26	60
30	26	58
31	26	57
32	27	55
33	28	54
34	28	53
35	29	52
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
