iter	Passed	Remaining
0	217	216862
1	218	109228
2	220	73328
3	222	55316
4	223	44517
5	225	37300
6	226	32135
7	227	28260
8	229	25257
9	230	22840
10	232	20864
11	233	19221
12	234	17835
13	236	16650
14	237	15615
15	239	14702
16	240	13897
17	241	13182
18	243	12547
19	244	11974
20	245	11451
21	247	10984
22	248	10552
23	249	10157
24	250	9788
25	252	9453
26	253	9126
27	254	8825
28	255	8547
29	256	8285
30	257	8038
31	258	7808
32	259	7593
33	260	7391
34	261	7196
35	261	7014
36	263	6854
37	264	6691
38	265	6536
39	266	6389
40	267	6248
41	268	6113
42	269	5987
43	270	5867
44	271	5751
45	272	5641
46	272	5533
47	273	5430
48	274	5333
49	275	5237
50	276	5147
51	277	5066
52	278	4981
53	279	4900
54	280	4820
55	281	4745
56	282	4671
57	283	4602
58	284	4534
59	285	4468
60	286	4404
61	287	4343
62	288	4284
63	289	4227
64	289	4170
65	290	4116
66	292	4070
67	293	4018
68	294	3967
69	295	3919
70	296	3873
71	296	3826
72	297	3783
73	301	3776
74	302	3736
75	304	3696
76	305	3657
77	308	3643
78	309	3607
79	310	3571
80	311	3537
81	312	3501
82	313	3462
83	314	3429
84	315	3396
85	316	3364
86	317	3333
87	318	3303
88	319	3273
89	320	3243
90	321	3215
91	323	3189
92	324	3162
93	325	3136
94	326	3110
95	327	3086
96	328	3062
97	329	3037
98	330	3012
99	332	2988
100	333	2964
101	334	2941
102	335	2918
103	336	2900
104	338	2884
105	339	2863
106	340	2843
107	341	2823
108	342	2803
109	344	2783
110	345	2766
111	346	2748
112	348	2737
113	350	2721
114	351	2703
115	352	2688
116	353	2667
117	354	2650
118	355	2632
119	356	2614
120	357	2597
121	358	2578
122	359	2561
123	360	2544
124	361	2527
125	362	2512
126	363	2495
127	364	2480
128	365	2465
129	366	2450
130	367	2438
131	369	2427
132	370	2414
133	371	2400
134	372	2386
135	373	2372
136	374	2357
137	375	2343
138	376	2330
139	377	2316
140	377	2302
141	378	2287
142	379	2274
143	380	2262
144	381	2251
145	382	2239
146	384	2229
147	385	2218
148	386	2206
149	387	2194
150	388	2182
151	389	2171
152	390	2159
153	391	2148
154	392	2137
155	393	2126
156	394	2116
157	395	2105
158	396	2096
159	397	2087
160	398	2076
161	399	2065
162	400	2054
163	401	2044
164	401	2034
165	402	2024
166	403	2014
167	404	2004
168	405	1995
169	406	1986
170	407	1977
171	408	1968
172	409	1958
173	410	1949
174	411	1940
175	412	1931
176	413	1922
